STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"06","071","000825",1400000US06071000825,"06071000825","8.25",Census Tract 8.25,CA,San Bernardino County,California,CT,952026,0
"06","071","000107",1400000US06071000107,"06071000107","1.07",Census Tract 1.07,CA,San Bernardino County,California,CT,1411508,0
"06","071","001307",1400000US06071001307,"06071001307","13.07",Census Tract 13.07,CA,San Bernardino County,California,CT,1281879,0
"06","071","008202",1400000US06071008202,"06071008202","82.02",Census Tract 82.02,CA,San Bernardino County,California,CT,1363094,0
"06","071","002309",1400000US06071002309,"06071002309","23.09",Census Tract 23.09,CA,San Bernardino County,California,CT,1336316,0
"06","071","002029",1400000US06071002029,"06071002029","20.29",Census Tract 20.29,CA,San Bernardino County,California,CT,1992452,0
"06","071","002046",1400000US06071002046,"06071002046","20.46",Census Tract 20.46,CA,San Bernardino County,California,CT,3770874,0
"06","071","008705",1400000US06071008705,"06071008705","87.05",Census Tract 87.05,CA,San Bernardino County,California,CT,4575669,0
"06","071","010410",1400000US06071010410,"06071010410","104.10",Census Tract 104.10,CA,San Bernardino County,California,CT,57127609,0
"06","071","007404",1400000US06071007404,"06071007404","74.04",Census Tract 74.04,CA,San Bernardino County,California,CT,3211290,0
"06","071","005300",1400000US06071005300,"06071005300","53",Census Tract 53,CA,San Bernardino County,California,CT,1773550,0
"06","071","005200",1400000US06071005200,"06071005200","52",Census Tract 52,CA,San Bernardino County,California,CT,1979874,0
"06","071","004700",1400000US06071004700,"06071004700","47",Census Tract 47,CA,San Bernardino County,California,CT,1994953,0
"06","071","011300",1400000US06071011300,"06071011300","113",Census Tract 113,CA,San Bernardino County,California,CT,247709908,11059367
"06","071","003403",1400000US06071003403,"06071003403","34.03",Census Tract 34.03,CA,San Bernardino County,California,CT,1947308,0
"06","071","003506",1400000US06071003506,"06071003506","35.06",Census Tract 35.06,CA,San Bernardino County,California,CT,1633149,0
"06","071","002801",1400000US06071002801,"06071002801","28.01",Census Tract 28.01,CA,San Bernardino County,California,CT,1327137,0
"06","071","002307",1400000US06071002307,"06071002307","23.07",Census Tract 23.07,CA,San Bernardino County,California,CT,1639784,0
"06","071","007800",1400000US06071007800,"06071007800","78",Census Tract 78,CA,San Bernardino County,California,CT,17917358,0
"06","071","004601",1400000US06071004601,"06071004601","46.01",Census Tract 46.01,CA,San Bernardino County,California,CT,3854945,0
"06","071","003401",1400000US06071003401,"06071003401","34.01",Census Tract 34.01,CA,San Bernardino County,California,CT,2591609,0
"06","071","002706",1400000US06071002706,"06071002706","27.06",Census Tract 27.06,CA,San Bernardino County,California,CT,41433197,0
"06","071","004103",1400000US06071004103,"06071004103","41.03",Census Tract 41.03,CA,San Bernardino County,California,CT,2964291,0
"06","071","000823",1400000US06071000823,"06071000823","8.23",Census Tract 8.23,CA,San Bernardino County,California,CT,1898548,0
"06","071","000820",1400000US06071000820,"06071000820","8.20",Census Tract 8.20,CA,San Bernardino County,California,CT,4443132,0
"06","071","002107",1400000US06071002107,"06071002107","21.07",Census Tract 21.07,CA,San Bernardino County,California,CT,1460694,0
"06","071","001002",1400000US06071001002,"06071001002","10.02",Census Tract 10.02,CA,San Bernardino County,California,CT,1203162,0
"06","071","001707",1400000US06071001707,"06071001707","17.07",Census Tract 17.07,CA,San Bernardino County,California,CT,1709523,0
"06","071","000117",1400000US06071000117,"06071000117","1.17",Census Tract 1.17,CA,San Bernardino County,California,CT,5399403,0
"06","071","000104",1400000US06071000104,"06071000104","1.04",Census Tract 1.04,CA,San Bernardino County,California,CT,4153781,0
"06","071","010019",1400000US06071010019,"06071010019","100.19",Census Tract 100.19,CA,San Bernardino County,California,CT,9098830,0
"06","071","001808",1400000US06071001808,"06071001808","18.08",Census Tract 18.08,CA,San Bernardino County,California,CT,1130298,0
"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"06","071","009709",1400000US06071009709,"06071009709","97.09",Census Tract 97.09,CA,San Bernardino County,California,CT,7734045,0
"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"06","071","009712",1400000US06071009712,"06071009712","97.12",Census Tract 97.12,CA,San Bernardino County,California,CT,15037627,0
"06","071","009202",1400000US06071009202,"06071009202","92.02",Census Tract 92.02,CA,San Bernardino County,California,CT,426213704,444588
"06","071","000203",1400000US06071000203,"06071000203","2.03",Census Tract 2.03,CA,San Bernardino County,California,CT,1483304,0
"06","071","002014",1400000US06071002014,"06071002014","20.14",Census Tract 20.14,CA,San Bernardino County,California,CT,4066829,0
"06","071","002011",1400000US06071002011,"06071002011","20.11",Census Tract 20.11,CA,San Bernardino County,California,CT,3917436,0
"06","071","002021",1400000US06071002021,"06071002021","20.21",Census Tract 20.21,CA,San Bernardino County,California,CT,7780053,0
"06","071","002019",1400000US06071002019,"06071002019","20.19",Census Tract 20.19,CA,San Bernardino County,California,CT,2470572,0
"06","071","001305",1400000US06071001305,"06071001305","13.05",Census Tract 13.05,CA,San Bernardino County,California,CT,1200653,0
"06","071","002025",1400000US06071002025,"06071002025","20.25",Census Tract 20.25,CA,San Bernardino County,California,CT,1811902,0
"06","071","004509",1400000US06071004509,"06071004509","45.09",Census Tract 45.09,CA,San Bernardino County,California,CT,2117007,0
"06","071","006603",1400000US06071006603,"06071006603","66.03",Census Tract 66.03,CA,San Bernardino County,California,CT,1833944,0
"06","071","003801",1400000US06071003801,"06071003801","38.01",Census Tract 38.01,CA,San Bernardino County,California,CT,1888548,0
"06","071","980100",1400000US06071980100,"06071980100","9801",Census Tract 9801,CA,San Bernardino County,California,CT,8043928,0
"06","071","010009",1400000US06071010009,"06071010009","100.09",Census Tract 100.09,CA,San Bernardino County,California,CT,17179133,0
"06","071","980200",1400000US06071980200,"06071980200","9802",Census Tract 9802,CA,San Bernardino County,California,CT,23107654,0
"06","071","010417",1400000US06071010417,"06071010417","104.17",Census Tract 104.17,CA,San Bernardino County,California,CT,52197147,0
"06","071","010422",1400000US06071010422,"06071010422","104.22",Census Tract 104.22,CA,San Bernardino County,California,CT,33693773,0
"06","071","000111",1400000US06071000111,"06071000111","1.11",Census Tract 1.11,CA,San Bernardino County,California,CT,10807945,0
"06","071","025100",1400000US06071025100,"06071025100","251",Census Tract 251,CA,San Bernardino County,California,CT,7231730389,44126434
"06","071","009201",1400000US06071009201,"06071009201","92.01",Census Tract 92.01,CA,San Bernardino County,California,CT,33825506,8669
"06","071","011404",1400000US06071011404,"06071011404","114.04",Census Tract 114.04,CA,San Bernardino County,California,CT,147174939,35603
"06","071","010419",1400000US06071010419,"06071010419","104.19",Census Tract 104.19,CA,San Bernardino County,California,CT,65434649,0
"06","071","009121",1400000US06071009121,"06071009121","91.21",Census Tract 91.21,CA,San Bernardino County,California,CT,31930643,7094
"06","071","002040",1400000US06071002040,"06071002040","20.40",Census Tract 20.40,CA,San Bernardino County,California,CT,3030758,0
"06","071","010428",1400000US06071010428,"06071010428","104.28",Census Tract 104.28,CA,San Bernardino County,California,CT,49110952,0
"06","071","010435",1400000US06071010435,"06071010435","104.35",Census Tract 104.35,CA,San Bernardino County,California,CT,157553072,0
"06","071","011406",1400000US06071011406,"06071011406","114.06",Census Tract 114.06,CA,San Bernardino County,California,CT,2391162,9372
"06","071","011405",1400000US06071011405,"06071011405","114.05",Census Tract 114.05,CA,San Bernardino County,California,CT,7084935,0
"06","071","011003",1400000US06071011003,"06071011003","110.03",Census Tract 110.03,CA,San Bernardino County,California,CT,5258802,0
"06","071","010806",1400000US06071010806,"06071010806","108.06",Census Tract 108.06,CA,San Bernardino County,California,CT,12526996,0
"06","071","010033",1400000US06071010033,"06071010033","100.33",Census Tract 100.33,CA,San Bernardino County,California,CT,1453692,0
"06","071","007905",1400000US06071007905,"06071007905","79.05",Census Tract 79.05,CA,San Bernardino County,California,CT,3151408,0
"06","071","009129",1400000US06071009129,"06071009129","91.29",Census Tract 91.29,CA,San Bernardino County,California,CT,12194860,0
"06","071","006304",1400000US06071006304,"06071006304","63.04",Census Tract 63.04,CA,San Bernardino County,California,CT,1387818,0
"06","071","009127",1400000US06071009127,"06071009127","91.27",Census Tract 91.27,CA,San Bernardino County,California,CT,2723229,0
"06","071","009126",1400000US06071009126,"06071009126","91.26",Census Tract 91.26,CA,San Bernardino County,California,CT,21851632,0
"06","071","009134",1400000US06071009134,"06071009134","91.34",Census Tract 91.34,CA,San Bernardino County,California,CT,472829550,1017671
"06","071","008502",1400000US06071008502,"06071008502","85.02",Census Tract 85.02,CA,San Bernardino County,California,CT,21638870,0
"06","071","008201",1400000US06071008201,"06071008201","82.01",Census Tract 82.01,CA,San Bernardino County,California,CT,999617,0
"06","071","008714",1400000US06071008714,"06071008714","87.14",Census Tract 87.14,CA,San Bernardino County,California,CT,2624951,0
"06","071","006501",1400000US06071006501,"06071006501","65.01",Census Tract 65.01,CA,San Bernardino County,California,CT,2283397,0
"06","071","007202",1400000US06071007202,"06071007202","72.02",Census Tract 72.02,CA,San Bernardino County,California,CT,7631738,0
"06","071","007112",1400000US06071007112,"06071007112","71.12",Census Tract 71.12,CA,San Bernardino County,California,CT,925861,0
"06","071","002045",1400000US06071002045,"06071002045","20.45",Census Tract 20.45,CA,San Bernardino County,California,CT,1211333,0
"06","071","000308",1400000US06071000308,"06071000308","3.08",Census Tract 3.08,CA,San Bernardino County,California,CT,779575,0
"06","071","000119",1400000US06071000119,"06071000119","1.19",Census Tract 1.19,CA,San Bernardino County,California,CT,2030635,72596
"06","071","002504",1400000US06071002504,"06071002504","25.04",Census Tract 25.04,CA,San Bernardino County,California,CT,1301148,0
"06","071","001909",1400000US06071001909,"06071001909","19.09",Census Tract 19.09,CA,San Bernardino County,California,CT,7065145,0
"06","071","011801",1400000US06071011801,"06071011801","118.01",Census Tract 118.01,CA,San Bernardino County,California,CT,67089185,0
"06","071","009725",1400000US06071009725,"06071009725","97.25",Census Tract 97.25,CA,San Bernardino County,California,CT,8512000,0
"06","071","002039",1400000US06071002039,"06071002039","20.39",Census Tract 20.39,CA,San Bernardino County,California,CT,4968450,0
"06","071","001910",1400000US06071001910,"06071001910","19.10",Census Tract 19.10,CA,San Bernardino County,California,CT,12853404,0
"06","071","009912",1400000US06071009912,"06071009912","99.12",Census Tract 99.12,CA,San Bernardino County,California,CT,2821704,0
"06","071","009300",1400000US06071009300,"06071009300","93",Census Tract 93,CA,San Bernardino County,California,CT,11464768,0
"06","071","007604",1400000US06071007604,"06071007604","76.04",Census Tract 76.04,CA,San Bernardino County,California,CT,7353917,199580
"06","071","007410",1400000US06071007410,"06071007410","74.10",Census Tract 74.10,CA,San Bernardino County,California,CT,2278645,0
"06","071","006604",1400000US06071006604,"06071006604","66.04",Census Tract 66.04,CA,San Bernardino County,California,CT,984765,0
"06","071","006700",1400000US06071006700,"06071006700","67",Census Tract 67,CA,San Bernardino County,California,CT,1903167,0
