apn,shape_area,category,year_built,class,county,unknown,place_name
"022911178",79900,Existing,2005,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911177",88000,Existing,2005,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911176",111100,Existing,2005,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022927145",237200,Existing,2006,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928415",393600,Existing,2004,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926226",426600,Existing,1983,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926380",156500,Existing,2002,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928419",62200,Existing,2004,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"023012102",206800,Existing,2003,storage warehouse,San Bernardino County,"0",unincorporated
"022911130",107400,Existing,2001,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022912146",186500,Existing,1990,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022912145",113600,Existing,1990,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926235",955200,Existing,1983,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929134",226200,Existing,2001,storage warehouse,San Bernardino County,"0",unincorporated
"022926381",130900,Existing,2002,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926309",93400,Existing,1989,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926237",217000,Existing,1990,flex,San Bernardino County,"0",Rancho Cucamonga
"023014150",51500,Existing,2004,storage warehouse,San Bernardino County,"0",unincorporated
"022915128",176000,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022911170",115200,Existing,2001,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929140",700100,Existing,1998,distribution warehouse,San Bernardino County,"0",unincorporated
"022925138",319900,Existing,2002,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928369",1198700,Existing,2008,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022949104",216400,Existing,2022,improvements ass'd associated apn,San Bernardino County,"0",Rancho Cucamonga
"022949103",1085800,Existing,2022,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"023013130",80000,Existing,2004,storage warehouse,San Bernardino County,"0",unincorporated
"023016137",163200,Existing,1984,light industrial,San Bernardino County,"0",unincorporated
"022911169",61100,Existing,2001,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911167",63300,Existing,2001,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911166",53400,Existing,2001,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926236",586300,Existing,1983,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929139",339800,Existing,2000,light industrial,San Bernardino County,"0",unincorporated
"022925136",401500,Existing,2002,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928371",471200,Existing,1998,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926240",235500,Existing,1991,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928361",1018100,Existing,1985,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022926212",196100,Existing,1986,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928420",58100,Existing,2004,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"023014147",60300,Existing,2001,storage warehouse,San Bernardino County,"0",unincorporated
"023110214",168800,Existing,1980,storage warehouse,San Bernardino County,"0",unincorporated
"023102159",761300,Existing,1987,storage warehouse,San Bernardino County,"0",unincorporated
"022911163",219400,Existing,1992,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022912147",136000,Existing,1988,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929160",348300,Existing,2023,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926218",69700,Existing,1986,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926217",82300,Existing,1988,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926330",562400,Existing,1990,flex,San Bernardino County,"0",Rancho Cucamonga
"022937123",1013900,Existing,2005,flex,San Bernardino County,"0",unincorporated
"023102167",77000,Existing,1998,storage warehouse,San Bernardino County,"0",unincorporated
"022926229",272900,Existing,1989,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926376",597900,Existing,2001,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932119",548000,Existing,1989,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911153",119300,Existing,1991,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926214",295700,Existing,1983,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926209",695800,Existing,1984,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932103",98100,Existing,1984,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932102",98400,Existing,1985,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"023010133",368300,Existing,2005,transit warehouse (truck terminal),San Bernardino County,"0",unincorporated
"023010104",91700,Existing,2016,storage warehouse,San Bernardino County,"0",unincorporated
"022911155",132600,Existing,1993,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911147",570600,Existing,1990,flex,San Bernardino County,"0",Rancho Cucamonga
"022937120",1663800,Existing,2002,distribution warehouse,San Bernardino County,"0",unincorporated
"022929131",992500,Existing,1997,light industrial,San Bernardino County,"0",unincorporated
"022926336",151000,Existing,1987,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022937114",1710800,Existing,2005,distribution warehouse,San Bernardino County,"0",unincorporated
"023016240",86000,Existing,1980,storage warehouse,San Bernardino County,"0",unincorporated
"022924213",185300,Existing,1980,light industrial,San Bernardino County,"0",unincorporated
"022922320",444000,Existing,1980,light industrial,San Bernardino County,"0",unincorporated
"022934103",93900,Existing,2016,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926363",303000,Existing,1991,cold storage facility,San Bernardino County,"0",Rancho Cucamonga
"022949101",1958500,Existing,2022,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022949102",443900,Existing,2022,improvements ass'd associated apn,San Bernardino County,"0",Rancho Cucamonga
"022926375",583900,Existing,1997,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926371",87000,Existing,2020,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022934115",105100,Existing,2016,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"023014230",161900,Existing,1995,light industrial,San Bernardino County,"0",unincorporated
"022917128",67400,Existing,2021,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022912150",86600,Existing,1988,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911125",303200,Existing,1985,flex,San Bernardino County,"0",Rancho Cucamonga
"022919201",83700,Existing,1980,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928427",61400,Existing,2020,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926219",121800,Existing,1986,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932112",184300,Existing,1980,storage warehouse,San Bernardino County,"1",Rancho Cucamonga
"022932105",88200,Existing,1985,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928372",681300,Existing,1997,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022938105",1697700,Existing,2002,flex,San Bernardino County,"0",unincorporated
"022926362",371200,Existing,1991,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022932118",282500,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"023013226",249300,Existing,2024,distribution warehouse,San Bernardino County,"0",unincorporated
"023013226",176000,Existing,2024,distribution warehouse,San Bernardino County,"0",unincorporated
"023012215",186000,Existing,1980,light industrial,San Bernardino County,"0",unincorporated
"023102137",103200,Existing,1988,storage warehouse,San Bernardino County,"0",unincorporated
"022901243",916900,Existing,2001,flex,San Bernardino County,"0",Rancho Cucamonga
"022917123",84000,Existing,2008,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911126",304200,Existing,1988,flex,San Bernardino County,"0",Rancho Cucamonga
"022926248",241300,Existing,2015,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926234",54800,Existing,1986,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932106",88200,Existing,1985,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932122",184300,Existing,2003,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926368",1000700,Existing,2003,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"023014143",98900,Existing,1994,storage warehouse,San Bernardino County,"0",unincorporated
"023013131",413300,Existing,2021,distribution warehouse,San Bernardino County,"0",unincorporated
"022913130",1187200,Existing,2014,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022913131",2068400,Existing,2014,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022916206",75400,Existing,1980,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911150",392200,Existing,1990,flex,San Bernardino County,"0",Rancho Cucamonga
"022913116",166200,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Rancho Cucamonga
"022913115",218300,Existing,2020,transit warehouse (truck terminal),San Bernardino County,"0",Rancho Cucamonga
"022926227",820400,Existing,1987,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926220",71800,Existing,1981,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932107",88600,Existing,2019,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022933115",415300,Existing,1989,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022911165",656000,Existing,2007,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911164",864200,Existing,2001,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911162",482100,Existing,2001,flex,San Bernardino County,"0",Rancho Cucamonga
"022911112",403500,Existing,1980,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022912151",78200,Existing,1989,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911124",356700,Existing,1985,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926223",73800,Existing,1981,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928416",53800,Existing,2004,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022928423",52600,Existing,2007,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926304",70100,Existing,2007,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926372",347200,Existing,1999,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022932122",184300,Existing,2003,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022933116",56300,Existing,2003,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022940110",286500,Existing,2016,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"023005121",57000,Existing,1986,storage warehouse,San Bernardino County,"0",unincorporated
"023014144",99000,Existing,1994,storage warehouse,San Bernardino County,"0",unincorporated
"022908211",64100,Existing,1980,storage warehouse,San Bernardino County,"0",unincorporated
"022923125",174800,Existing,2008,light industrial,San Bernardino County,"0",unincorporated
"022912157",411200,Existing,2005,flex,San Bernardino County,"0",Rancho Cucamonga
"022913126",116900,Existing,2020,transit warehouse (truck terminal),San Bernardino County,"0",Rancho Cucamonga
"022926213",295700,Existing,1981,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926345",102600,Existing,1991,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926347",94400,Existing,1991,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022933105",184300,Existing,2003,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022917127",206900,Existing,2018,flex,San Bernardino County,"0",Rancho Cucamonga
"022917102",206900,Existing,2024,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022912137",66100,Existing,2005,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022911128",89400,Existing,1990,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929161",1075600,Existing,2023,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"022929155",779600,Existing,2002,light industrial,San Bernardino County,"0",Rancho Cucamonga
"022926224",71700,Existing,1981,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"022926221",64100,Existing,1981,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"023109118",62200,Existing,2009,storage warehouse,San Bernardino County,"0",unincorporated
"023109117",63700,Existing,2009,storage warehouse,San Bernardino County,"0",unincorporated
"023110122",70200,Existing,1996,storage warehouse,San Bernardino County,"0",unincorporated
"023407101",640400,Existing,1987,storage warehouse,San Bernardino County,"0",unincorporated
"023424117",207200,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023520121",64000,Existing,1990,storage warehouse,San Bernardino County,"0",Fontana
"023519103",278900,Existing,1981,storage warehouse,San Bernardino County,"0",Fontana
"023607113",179800,Existing,1988,storage warehouse,San Bernardino County,"0",Fontana
"023615167",1061400,Existing,1982,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023616178",65800,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023401116",1132500,Existing,2006,flex,San Bernardino County,"0",unincorporated
"023422124",63000,Existing,1989,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023517117",321200,Existing,2022,distribution warehouse,San Bernardino County,"0",Fontana
"023610122",115400,Existing,1985,storage warehouse,San Bernardino County,"0",Fontana
"023607132",56200,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023615158",61400,Existing,1990,storage warehouse,San Bernardino County,"0",Fontana
"023620115",391800,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023619112",429900,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023619114",405800,Existing,1980,storage warehouse,San Bernardino County,"0",Fontana
"023424117",263900,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023614117",186800,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023611135",414000,Existing,1995,light industrial,San Bernardino County,"0",Fontana
"023609131",208400,Existing,1991,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023617193",190000,Existing,2018,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023616181",133000,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023421133",421400,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023608113",206500,Existing,1989,light industrial,San Bernardino County,"0",Fontana
"023607136",215200,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023614102",294200,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023614118",186600,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023609133",202100,Existing,1984,light industrial,San Bernardino County,"0",Fontana
"023617194",192900,Existing,2023,distribution warehouse,San Bernardino County,"0",Fontana
"023620128",197400,Existing,1984,light industrial,San Bernardino County,"0",Fontana
"023617111",206900,Existing,2006,light industrial,San Bernardino County,"0",Fontana
"023403105",482100,Existing,1993,transit warehouse (truck terminal),San Bernardino County,"0",unincorporated
"023420113",507800,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023418112",1026300,Existing,1985,transit warehouse (truck terminal),San Bernardino County,"0",unincorporated
"023418109",251400,Existing,2009,improvements ass'd associated apn,San Bernardino County,"0",unincorporated
"023418110",161200,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",unincorporated
"023416111",1083200,Existing,2008,cold storage facility,San Bernardino County,"0",unincorporated
"023607119",228100,Existing,1992,light industrial,San Bernardino County,"0",Fontana
"023607107",223500,Existing,1980,light industrial,San Bernardino County,"1",Fontana
"023612224",739800,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023612219",191200,Existing,2004,light industrial,San Bernardino County,"0",Fontana
"023611134",599100,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023609137",619900,Existing,1988,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023620133",301200,Existing,2019,distribution warehouse,San Bernardino County,"0",Fontana
"023620129",144400,Existing,2004,storage warehouse,San Bernardino County,"0",Fontana
"023620117",204700,Existing,1984,light industrial,San Bernardino County,"0",Fontana
"023620118",178100,Existing,2020,storage warehouse,San Bernardino County,"0",Fontana
"023407127",170500,Existing,1981,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023515220",123200,Existing,1985,storage warehouse,San Bernardino County,"0",Fontana
"023514104",175700,Existing,2022,distribution warehouse,San Bernardino County,"0",Fontana
"023607106",456100,Existing,1987,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023608128",272600,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023614122",235600,Existing,2017,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023615168",119200,Existing,2022,distribution warehouse,San Bernardino County,"0",Fontana
"023617190",408400,Existing,2018,distribution warehouse,San Bernardino County,"0",Fontana
"023615169",438800,Existing,2023,distribution warehouse,San Bernardino County,"0",Fontana
"023407140",491500,Existing,1982,light industrial,San Bernardino County,"0",Fontana
"023615127",55300,Existing,2008,storage warehouse,San Bernardino County,"0",Fontana
"023617191",86500,Existing,2019,storage warehouse,San Bernardino County,"0",Fontana
"023504109",77400,Existing,1985,storage warehouse,San Bernardino County,"0",unincorporated
"023603106",62800,Existing,1987,storage warehouse,San Bernardino County,"0",Fontana
"023603103",124100,Existing,1987,storage warehouse,San Bernardino County,"0",Fontana
"023603116",526900,Existing,2023,distribution warehouse,San Bernardino County,"0",Fontana
"023612226",381400,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023611138",363200,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023611136",206200,Existing,1989,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023401112",1035100,Existing,2004,distribution warehouse,San Bernardino County,"0",unincorporated
"023415101",177500,Existing,1980,light industrial,San Bernardino County,"0",unincorporated
"023602123",238500,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023602108",59200,Existing,1991,storage warehouse,San Bernardino County,"0",Fontana
"023602109",59100,Existing,1995,storage warehouse,San Bernardino County,"0",Fontana
"023601114",138000,Existing,1981,distribution warehouse,San Bernardino County,"0",Fontana
"023601105",132600,Existing,1982,storage warehouse,San Bernardino County,"0",Fontana
"023609141",320800,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023608149",282300,Existing,2022,distribution warehouse,San Bernardino County,"0",Fontana
"023612225",100200,Existing,2020,storage warehouse,San Bernardino County,"0",Fontana
"023405104",178300,Existing,1980,light industrial,San Bernardino County,"1",unincorporated
"023620135",739000,Existing,2019,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023620134",765700,Existing,2004,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023619101",197200,Existing,2019,storage warehouse,San Bernardino County,"0",Fontana
"023618128",262000,Existing,2017,distribution warehouse,San Bernardino County,"0",Fontana
"023617201",377500,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023521113",766100,Existing,2019,distribution warehouse,San Bernardino County,"0",Fontana
"023521102",200900,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023605206",83100,Existing,1986,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023616182",575100,Existing,2023,distribution warehouse,San Bernardino County,"0",Fontana
"023615139",175600,Existing,1985,storage warehouse,San Bernardino County,"0",Fontana
"023615140",175000,Existing,2020,light industrial,San Bernardino County,"0",Fontana
"023615166",82000,Existing,2000,storage warehouse,San Bernardino County,"0",Fontana
"023410121",431200,Existing,2016,distribution warehouse,San Bernardino County,"0",unincorporated
"023411105",51400,Existing,1980,storage warehouse,San Bernardino County,"0",unincorporated
"023415113",80100,Existing,1988,storage warehouse,San Bernardino County,"0",unincorporated
"023520107",189600,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023618129",344600,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023407141",841500,Existing,2000,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023404168",197900,Existing,2002,light industrial,San Bernardino County,"0",unincorporated
"023617202",204000,Existing,2021,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023615161",51700,Existing,1987,storage warehouse,San Bernardino County,"0",Fontana
"023422106",105000,Existing,1987,storage warehouse,San Bernardino County,"0",Fontana
"023421130",202900,Existing,1998,distribution warehouse,San Bernardino County,"0",Fontana
"023613126",550300,Existing,2023,distribution warehouse,San Bernardino County,"0",Fontana
"023610104",207900,Existing,1981,light industrial,San Bernardino County,"0",Fontana
"023612122",464100,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023615162",52900,Existing,1990,storage warehouse,San Bernardino County,"0",Fontana
"023615163",56500,Existing,1988,storage warehouse,San Bernardino County,"0",Fontana
"023619127",213100,Existing,2006,light industrial,San Bernardino County,"0",Fontana
"023617192",205700,Existing,2019,distribution warehouse,San Bernardino County,"0",Fontana
"023609124",139900,Existing,1994,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023707112",228000,Existing,1986,light industrial,San Bernardino County,"0",Fontana
"023719151",1189800,Existing,2015,distribution warehouse,San Bernardino County,"0",Fontana
"023719152",595100,Existing,2017,distribution warehouse,San Bernardino County,"0",Fontana
"023716114",202500,Existing,2015,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023716113",377700,Existing,2015,distribution warehouse,San Bernardino County,"0",Fontana
"023715105",799600,Existing,2004,light industrial,San Bernardino County,"0",Fontana
"023714126",323800,Existing,1999,storage warehouse,San Bernardino County,"0",Fontana
"023705205",69500,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023714111",341100,Existing,1986,distribution warehouse,San Bernardino County,"0",Fontana
"023713120",194800,Existing,2012,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023713119",194800,Existing,2007,distribution warehouse,San Bernardino County,"0",Fontana
"023712217",630800,Existing,1987,light industrial,San Bernardino County,"0",Fontana
"023715108",196500,Existing,1990,light industrial,San Bernardino County,"0",Fontana
"023713127",436400,Existing,2015,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023712218",570200,Existing,2015,distribution warehouse,San Bernardino County,"0",Fontana
"023711140",600000,Existing,2000,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023710138",179100,Existing,2009,improvements ass'd associated apn,San Bernardino County,"0",Fontana
"023710137",200900,Existing,2008,distribution warehouse,San Bernardino County,"0",Fontana
"023710104",100500,Existing,1985,storage warehouse,San Bernardino County,"0",Fontana
"023709108",371200,Existing,1990,storage warehouse,San Bernardino County,"0",Fontana
"023709107",379900,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023706103",180500,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023705313",240500,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023705101",71700,Existing,1988,storage warehouse,San Bernardino County,"0",Fontana
"023708102",419700,Existing,1987,storage warehouse,San Bernardino County,"0",Fontana
"023704116",295400,Existing,2003,light industrial,San Bernardino County,"0",Fontana
"023704102",296900,Existing,1981,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023710131",203300,Existing,1994,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023709128",820600,Existing,2013,distribution warehouse,San Bernardino County,"0",Fontana
"023704212",52700,Existing,2004,storage warehouse,San Bernardino County,"0",Fontana
"023708128",164400,Existing,1987,light industrial,San Bernardino County,"0",Fontana
"023706131",573200,Existing,1980,improvements ass'd associated apn,San Bernardino County,"1",Fontana
"023710134",203200,Existing,1989,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023710109",412600,Existing,2018,distribution warehouse,San Bernardino County,"0",Fontana
"023710125",203300,Existing,1980,light industrial,San Bernardino County,"0",Fontana
"023705429",270400,Existing,2021,distribution warehouse,San Bernardino County,"0",Fontana
"023704319",222900,Existing,2022,distribution warehouse,San Bernardino County,"0",Fontana
"023706134",256900,Existing,1989,storage warehouse,San Bernardino County,"0",Fontana
"023710124",203400,Existing,1980,light industrial,San Bernardino County,"1",Fontana
"023705228",117600,Existing,2020,storage warehouse,San Bernardino County,"0",Fontana
"023711142",761000,Existing,2017,distribution warehouse,San Bernardino County,"0",Fontana
"023710140",485400,Existing,2016,distribution warehouse,San Bernardino County,"0",Fontana
"023710116",174300,Existing,2012,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023709121",154300,Existing,1992,light industrial,San Bernardino County,"0",Fontana
"023701109",152200,Existing,1987,light industrial,San Bernardino County,"0",Fontana
"023708130",765200,Existing,2013,distribution warehouse,San Bernardino County,"0",Fontana
"023709122",195700,Existing,1992,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023802152",567600,Existing,1996,distribution warehouse,San Bernardino County,"0",Ontario
"023818539",116700,Existing,1986,distribution warehouse,San Bernardino County,"0",Ontario
"023821145",513600,Existing,1998,light industrial,San Bernardino County,"0",Ontario
"023809172",68800,Existing,1990,storage warehouse,San Bernardino County,"0",Fontana
"023808173",74500,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023818527",99300,Existing,1988,storage warehouse,San Bernardino County,"0",Ontario
"023810164",574800,Existing,1989,distribution warehouse,San Bernardino County,"0",Ontario
"023810177",260000,Existing,1998,flex,San Bernardino County,"0",Ontario
"023810179",724700,Existing,2000,flex,San Bernardino County,"0",Ontario
"023825106",166200,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"023812163",151700,Existing,2004,distribution warehouse,San Bernardino County,"0",Ontario
"023812128",65000,Existing,2004,storage warehouse,San Bernardino County,"0",Ontario
"023814414",1438700,Existing,1998,distribution warehouse,San Bernardino County,"0",Fontana
"023814423",438200,Existing,2005,distribution warehouse,San Bernardino County,"0",Fontana
"023814424",880300,Existing,1998,distribution warehouse,San Bernardino County,"0",Fontana
"023814412",1018800,Existing,1999,transit warehouse (truck terminal),San Bernardino County,"0",Fontana
"023817172",281600,Existing,1980,storage warehouse,San Bernardino County,"0",Fontana
"023805125",124200,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023805128",125600,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023818520",346100,Existing,1984,light industrial,San Bernardino County,"0",Ontario
"023818534",54300,Existing,1987,storage warehouse,San Bernardino County,"0",Ontario
"023818533",56900,Existing,1987,storage warehouse,San Bernardino County,"0",Ontario
"023808142",1167700,Existing,1980,light industrial,San Bernardino County,"0",Ontario
"023818535",73700,Existing,1987,storage warehouse,San Bernardino County,"0",Ontario
"023822124",64900,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023822113",66300,Existing,1984,storage warehouse,San Bernardino County,"0",Ontario
"023822123",175600,Existing,2020,distribution warehouse,San Bernardino County,"0",Ontario
"023814309",511100,Existing,1989,distribution warehouse,San Bernardino County,"0",Fontana
"023813340",255100,Existing,1989,light industrial,San Bernardino County,"0",Ontario
"023813324",665300,Existing,1988,light industrial,San Bernardino County,"0",Ontario
"023813342",550300,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"023813322",289900,Existing,1989,flex,San Bernardino County,"0",Ontario
"023813222",1079900,Existing,1994,light industrial,San Bernardino County,"0",Ontario
"023802156",205100,Existing,2001,cold storage facility,San Bernardino County,"0",Ontario
"023803131",1570900,Existing,2004,flex,San Bernardino County,"0",unincorporated
"023805126",68600,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023805127",71700,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"023806240",627500,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023806241",437300,Existing,2020,distribution warehouse,San Bernardino County,"0",Fontana
"023808199",54500,Existing,2005,distribution warehouse,San Bernardino County,"0",Ontario
"023818508",251000,Existing,2004,flex,San Bernardino County,"0",Ontario
